Entity,Day,"People vaccinated (cumulative, per hundred)"
Afghanistan,2021-02-22,0
Afghanistan,2021-02-28,0.020207573
Afghanistan,2021-03-16,0.13307427
Afghanistan,2021-04-07,0.29572058
Afghanistan,2021-04-22,0.59144115
Afghanistan,2021-05-11,1.1061872
Afghanistan,2021-05-20,1.1590793
Afghanistan,2021-05-24,1.1739293
Afghanistan,2021-05-26,1.1813347
Afghanistan,2021-05-27,1.1818326
Afghanistan,2021-05-30,1.1834393
Afghanistan,2021-06-02,1.187047
Afghanistan,2021-06-03,1.1873181
Afghanistan,2021-06-08,1.190157
Afghanistan,2021-06-14,1.1945559
Afghanistan,2021-06-22,1.4345603
Afghanistan,2021-06-27,1.600425
Afghanistan,2021-06-30,1.7230653
Afghanistan,2021-07-05,1.7899696
Afghanistan,2021-07-07,1.8118135
Afghanistan,2021-07-11,1.8308406
Afghanistan,2021-08-20,1.8988761
Afghanistan,2021-08-31,1.9049383
Afghanistan,2021-09-30,2.041953
Afghanistan,2021-11-14,8.69954
Afghanistan,2021-12-27,10.209401
Afghanistan,2022-01-09,10.740991
Afghanistan,2022-01-11,10.790889
Afghanistan,2022-01-13,10.85762
Afghanistan,2022-01-17,10.924229
Afghanistan,2022-01-19,10.966825
Afghanistan,2022-01-24,11.05632
Afghanistan,2022-01-26,11.117546
Afghanistan,2022-01-27,11.132352
Afghanistan,2022-01-31,11.224193
Afghanistan,2022-02-02,11.281099
Afghanistan,2022-02-07,11.420438
Afghanistan,2022-02-14,11.640095
Afghanistan,2022-02-20,11.832579
Afghanistan,2022-02-27,12.09265
Afghanistan,2022-03-06,12.205236
Afghanistan,2022-03-17,12.485668
Afghanistan,2022-03-22,12.525797
Afghanistan,2022-04-04,12.785127
Afghanistan,2022-04-14,12.930336
Afghanistan,2022-04-18,12.947458
Afghanistan,2022-04-26,13.0281105
Afghanistan,2022-04-27,13.029022
Afghanistan,2022-05-05,13.106544
Afghanistan,2022-05-08,13.111218
Afghanistan,2022-05-10,13.125799
Afghanistan,2022-05-15,13.20868
Afghanistan,2022-05-23,13.325815
Afghanistan,2022-06-01,13.447694
Afghanistan,2022-06-15,13.734188
Afghanistan,2022-06-21,13.873046
Afghanistan,2022-06-30,14.079464
Afghanistan,2022-07-10,14.182991
Afghanistan,2022-07-17,14.710635
Afghanistan,2022-07-19,17.594027
Afghanistan,2022-07-27,17.97663
Afghanistan,2022-08-07,22.342768
Afghanistan,2022-08-15,25.763912
Afghanistan,2022-08-22,26.160128
Afghanistan,2022-08-31,26.443998
Afghanistan,2022-09-04,26.48734
Afghanistan,2022-09-11,26.67227
Afghanistan,2022-09-12,26.681843
Afghanistan,2022-09-19,26.79721
Afghanistan,2022-09-26,26.905432
Afghanistan,2022-09-28,26.934105
Afghanistan,2022-10-04,27.013195
Afghanistan,2022-10-11,27.076204
Afghanistan,2022-10-16,27.138142
Afghanistan,2022-10-24,27.316248
Afghanistan,2022-11-01,27.429665
Afghanistan,2022-11-02,27.516062
Afghanistan,2022-11-08,27.59265
Afghanistan,2022-11-15,27.657425
Afghanistan,2022-11-16,27.69127
Afghanistan,2022-11-27,27.829317
Afghanistan,2022-12-05,27.89855
Afghanistan,2022-12-22,28.240557
Afghanistan,2023-01-06,28.421581
Afghanistan,2023-01-16,28.602846
Afghanistan,2023-01-22,28.76558
